tp1_s,tp2_s,tp3_s,tp4_s,tp5_s,tp6_s,tp7_s,tp8_s,tp9_s,tp10_s,tp11_s,tp12_s,tp13_s,tp14_s,tp15_s,tp16_s,tp17_s
8.03,7.98,7.11,7.89,6.78,6.72,8.24,6.96,6.36,9.35,9.77,8.3,7.99,7.59,7.29,8.06,8.93
13.18,12.83,12.16,12.24,12.01,11.94,13.3,12.41,11.65,14.07,13.8,13.0,12.86,12.08,12.26,12.8,12.83
6.67,6.49,5.68,6.83,4.9,5.7,6.63,6.37,5.53,6.99,7.41,6.68,6.24,5.87,6.15,6.04,6.56
0.0,0.0,0.5,2.32,1.0,1.65,1.29,1.33,0.0,2.0,1.63,0.5,0.25,0.5,0.79,3.26,1.69
3.64,3.69,2.71,2.81,1.93,2.75,3.6,3.29,2.22,3.58,2.86,2.56,2.58,3.0,2.43,1.79,2.66
11.02,10.76,10.35,11.01,10.13,9.89,11.02,10.37,9.73,11.45,11.58,10.59,10.32,11.13,10.65,10.0,10.47
1.87,1.63,0.6,0.5,1.0,1.79,0.0,1.58,0.0,3.02,3.28,1.65,1.4,1.0,0.65,3.03,2.02
3.68,3.48,2.63,3.0,2.44,1.78,3.04,2.74,1.89,3.15,3.16,2.33,2.93,3.02,1.85,1.29,2.13
7.7,7.67,6.13,6.86,5.72,5.63,7.59,6.58,5.68,7.84,8.76,7.08,6.81,6.15,5.75,6.92,7.23
3.98,3.88,3.38,3.67,3.46,2.67,3.48,3.53,3.24,3.98,3.77,3.53,3.56,3.92,3.24,3.52,2.27
10.2,10.67,10.36,10.92,10.11,9.76,10.56,9.7,9.45,11.21,11.26,10.46,10.08,10.63,10.23,10.1,10.71
7.11,6.92,6.17,5.54,4.78,4.81,6.37,5.62,5.11,6.88,7.33,6.56,5.58,5.83,5.09,4.98,5.42
6.56,6.32,6.02,5.97,5.18,4.88,5.81,5.72,5.13,6.13,6.31,6.19,5.88,6.64,6.06,3.56,5.01
10.77,10.59,10.07,9.67,9.03,9.4,10.14,10.36,10.55,11.2,11.09,11.16,10.44,10.44,9.75,10.19,10.35
8.84,8.87,8.22,8.43,7.8,7.7,9.13,7.62,7.25,9.75,9.74,8.76,8.04,8.5,7.88,8.28,9.05
6.52,6.35,6.22,5.98,5.48,5.42,6.45,6.05,5.19,5.67,5.61,5.61,5.96,6.5,6.11,3.18,4.8
6.46,6.8,6.21,6.55,5.41,5.38,6.52,5.88,5.7,7.22,7.17,6.8,6.22,6.61,6.02,5.48,6.22
5.47,5.55,5.22,5.35,4.45,4.25,5.55,4.74,4.28,5.94,6.01,5.25,5.0,5.24,4.82,4.23,5.42
8.63,9.07,8.63,9.3,8.41,7.91,8.61,7.72,7.75,9.54,9.48,8.59,8.27,8.08,8.13,8.32,9.26
2.58,2.91,2.25,2.48,2.37,2.34,3.09,3.55,2.86,3.57,4.37,3.58,3.15,3.54,3.32,1.79,2.15
8.39,8.37,7.95,7.68,7.18,7.43,8.15,8.06,7.47,7.85,8.4,8.02,8.36,8.77,7.97,7.52,7.89
8.67,9.06,8.69,9.16,8.29,7.92,8.56,7.53,7.35,9.42,10.28,9.01,8.67,9.05,8.54,9.16,9.92
6.22,6.37,6.26,6.22,5.48,5.17,6.16,5.67,5.03,6.25,6.38,5.62,5.98,6.36,5.94,4.8,5.68
4.97,5.04,4.25,4.43,4.0,3.79,4.72,4.08,3.85,5.43,5.99,4.97,4.64,4.47,4.37,4.72,5.78
